email_text,label
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Win cash prizes instantly by replying to this email.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
"Hi, please find the meeting agenda attached.",ham
Here is the project update you asked for.,ham
Can we reschedule our meeting to tomorrow?,ham
Hope you are doing well. Let's catch up soon.,ham
You are selected for a free gift card. Act fast.,spam
Thank you for your support. Let me know if you need anything.,ham
Win cash prizes instantly by replying to this email.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Win cash prizes instantly by replying to this email.,spam
Thank you for your support. Let me know if you need anything.,ham
Can we reschedule our meeting to tomorrow?,ham
Win cash prizes instantly by replying to this email.,spam
Thank you for your support. Let me know if you need anything.,ham
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Win cash prizes instantly by replying to this email.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
Thank you for your support. Let me know if you need anything.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Can we reschedule our meeting to tomorrow?,ham
Thank you for your support. Let me know if you need anything.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Can we reschedule our meeting to tomorrow?,ham
Can we reschedule our meeting to tomorrow?,ham
Thank you for your support. Let me know if you need anything.,ham
Thank you for your support. Let me know if you need anything.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
You are selected for a free gift card. Act fast.,spam
Limited offer!!! Buy now and get 50% discount.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Thank you for your support. Let me know if you need anything.,ham
Can we reschedule our meeting to tomorrow?,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Can we reschedule our meeting to tomorrow?,ham
Limited offer!!! Buy now and get 50% discount.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Hope you are doing well. Let's catch up soon.,ham
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Win cash prizes instantly by replying to this email.,spam
"Hi, please find the meeting agenda attached.",ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Thank you for your support. Let me know if you need anything.,ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Win cash prizes instantly by replying to this email.,spam
"Hi, please find the meeting agenda attached.",ham
Urgent! Your account has been suspended. Verify immediately.,spam
Here is the project update you asked for.,ham
"Hi, please find the meeting agenda attached.",ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Thank you for your support. Let me know if you need anything.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Here is the project update you asked for.,ham
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Can we reschedule our meeting to tomorrow?,ham
Can we reschedule our meeting to tomorrow?,ham
Can we reschedule our meeting to tomorrow?,ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Hope you are doing well. Let's catch up soon.,ham
Thank you for your support. Let me know if you need anything.,ham
"Hi, please find the meeting agenda attached.",ham
You are selected for a free gift card. Act fast.,spam
Win cash prizes instantly by replying to this email.,spam
Limited offer!!! Buy now and get 50% discount.,spam
Hope you are doing well. Let's catch up soon.,ham
Win cash prizes instantly by replying to this email.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Can we reschedule our meeting to tomorrow?,ham
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Thank you for your support. Let me know if you need anything.,ham
Win cash prizes instantly by replying to this email.,spam
Limited offer!!! Buy now and get 50% discount.,spam
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Hope you are doing well. Let's catch up soon.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
Can we reschedule our meeting to tomorrow?,ham
"Hi, please find the meeting agenda attached.",ham
Thank you for your support. Let me know if you need anything.,ham
Here is the project update you asked for.,ham
Thank you for your support. Let me know if you need anything.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Limited offer!!! Buy now and get 50% discount.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Hope you are doing well. Let's catch up soon.,ham
Here is the project update you asked for.,ham
Can we reschedule our meeting to tomorrow?,ham
Hope you are doing well. Let's catch up soon.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Thank you for your support. Let me know if you need anything.,ham
You are selected for a free gift card. Act fast.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Win cash prizes instantly by replying to this email.,spam
"Hi, please find the meeting agenda attached.",ham
Can we reschedule our meeting to tomorrow?,ham
Hope you are doing well. Let's catch up soon.,ham
Can we reschedule our meeting to tomorrow?,ham
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Thank you for your support. Let me know if you need anything.,ham
"Hi, please find the meeting agenda attached.",ham
"Hi, please find the meeting agenda attached.",ham
Urgent! Your account has been suspended. Verify immediately.,spam
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
You are selected for a free gift card. Act fast.,spam
Hope you are doing well. Let's catch up soon.,ham
You are selected for a free gift card. Act fast.,spam
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Hope you are doing well. Let's catch up soon.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Thank you for your support. Let me know if you need anything.,ham
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Hope you are doing well. Let's catch up soon.,ham
Hope you are doing well. Let's catch up soon.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Can we reschedule our meeting to tomorrow?,ham
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Urgent! Your account has been suspended. Verify immediately.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Can we reschedule our meeting to tomorrow?,ham
"Hi, please find the meeting agenda attached.",ham
Win cash prizes instantly by replying to this email.,spam
Thank you for your support. Let me know if you need anything.,ham
Hope you are doing well. Let's catch up soon.,ham
Thank you for your support. Let me know if you need anything.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Here is the project update you asked for.,ham
Limited offer!!! Buy now and get 50% discount.,spam
"Hi, please find the meeting agenda attached.",ham
Urgent! Your account has been suspended. Verify immediately.,spam
Win cash prizes instantly by replying to this email.,spam
Hope you are doing well. Let's catch up soon.,ham
"Hi, please find the meeting agenda attached.",ham
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Win cash prizes instantly by replying to this email.,spam
Can we reschedule our meeting to tomorrow?,ham
Win cash prizes instantly by replying to this email.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Limited offer!!! Buy now and get 50% discount.,spam
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Thank you for your support. Let me know if you need anything.,ham
You are selected for a free gift card. Act fast.,spam
You are selected for a free gift card. Act fast.,spam
Can we reschedule our meeting to tomorrow?,ham
Can we reschedule our meeting to tomorrow?,ham
You are selected for a free gift card. Act fast.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
Here is the project update you asked for.,ham
You are selected for a free gift card. Act fast.,spam
Thank you for your support. Let me know if you need anything.,ham
Thank you for your support. Let me know if you need anything.,ham
Hope you are doing well. Let's catch up soon.,ham
Hope you are doing well. Let's catch up soon.,ham
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Thank you for your support. Let me know if you need anything.,ham
Hope you are doing well. Let's catch up soon.,ham
Thank you for your support. Let me know if you need anything.,ham
Here is the project update you asked for.,ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Win cash prizes instantly by replying to this email.,spam
Can we reschedule our meeting to tomorrow?,ham
You are selected for a free gift card. Act fast.,spam
Here is the project update you asked for.,ham
Here is the project update you asked for.,ham
Hope you are doing well. Let's catch up soon.,ham
Hope you are doing well. Let's catch up soon.,ham
Thank you for your support. Let me know if you need anything.,ham
Here is the project update you asked for.,ham
Win cash prizes instantly by replying to this email.,spam
Hope you are doing well. Let's catch up soon.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Thank you for your support. Let me know if you need anything.,ham
You are selected for a free gift card. Act fast.,spam
Thank you for your support. Let me know if you need anything.,ham
Win cash prizes instantly by replying to this email.,spam
Limited offer!!! Buy now and get 50% discount.,spam
You are selected for a free gift card. Act fast.,spam
"Hi, please find the meeting agenda attached.",ham
Here is the project update you asked for.,ham
Thank you for your support. Let me know if you need anything.,ham
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Win cash prizes instantly by replying to this email.,spam
Thank you for your support. Let me know if you need anything.,ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Thank you for your support. Let me know if you need anything.,ham
Congratulations! You have won a free lottery. Click here to claim now.,spam
Hope you are doing well. Let's catch up soon.,ham
Win cash prizes instantly by replying to this email.,spam
Hope you are doing well. Let's catch up soon.,ham
Win cash prizes instantly by replying to this email.,spam
You are selected for a free gift card. Act fast.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
Congratulations! You have won a free lottery. Click here to claim now.,spam
"Hi, please find the meeting agenda attached.",ham
Limited offer!!! Buy now and get 50% discount.,spam
Thank you for your support. Let me know if you need anything.,ham
Here is the project update you asked for.,ham
Can we reschedule our meeting to tomorrow?,ham
Limited offer!!! Buy now and get 50% discount.,spam
Urgent! Your account has been suspended. Verify immediately.,spam
Here is the project update you asked for.,ham
Thank you for your support. Let me know if you need anything.,ham
Here is the project update you asked for.,ham
Can we reschedule our meeting to tomorrow?,ham
